,unp_rank,n_rejected,grad_norm,workertimes,param_norm,n_reused,walltimes,generations,baseline_mu,baseline_sigma,sigma_avg,beta_avg,sigma_min,beta_min,sigma_max,beta_max,sigma_med,beta_med,sigma_std,beta_std,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
0,16,0,42.583435,26.939558744430542,32.149513,0,35.56225037574768,0,0.0,0.0,0.050026566,-5.9904022216796875,0.05,-5.991464614868164,0.05,-5.991464614868164,0.05,-5.991464614868164,0.0,0.00011559224,0.05,0.05,0.0,200.0,47.8,3439.1600000000008,4780.0,120.0,,512,1000,933.2,14481.36,93320,908,
1,3,0,42.541004,28.808939695358276,32.398235,0,70.28025460243225,1,0.0,0.0,0.050026875,-5.990389823913574,0.04998784,-5.991950988769531,0.050026722,-5.990396022796631,0.049999736,-5.9914751052856445,2.8898555e-06,0.00021993164,0.05,0.05,0.0,220.0,44.0,3840.0,4400.0,180.0,,410,1000,935.59,14982.481900000002,93559,1000,
2,3,0,42.565594,27.130574464797974,32.901955,0,103.57282209396362,2,0.0,0.0,0.050026998,-5.990385055541992,0.04997676,-5.99239444732666,0.05005088,-5.9894304275512695,0.04999951,-5.99148416519165,5.498472e-06,0.0003142414,0.05,0.05,0.0,200.0,60.4,3911.839999999999,6040.0,180.0,,593,1000,940.2,12526.600000000002,94020,1000,
3,1,0,42.56942,25.85056734085083,33.6966,0,135.44111323356628,3,0.0,0.0,0.05002564,-5.990439414978027,0.049966574,-5.992802143096924,0.050072636,-5.988561153411865,0.049999308,-5.99149227142334,7.856399e-06,0.0003995473,0.05,0.05,0.0,180.0,53.8,3845.56,5380.0,200.0,,577,1000,930.09,14788.821899999999,93009,1000,
4,2,0,42.536194,27.85043954849243,34.79214,0,169.29432654380798,4,0.0,0.0,0.05002355,-5.990522861480713,0.049957246,-5.993175506591797,0.050091885,-5.987792491912842,0.049999118,-5.991499900817871,9.989268e-06,0.00047674152,0.05,0.05,0.0,220.0,59.6,3583.84,5960.0,160.0,,600,1000,937.8,11795.26,93780,965,
5,2,0,42.561016,27.413984060287476,36.17924,0,202.80729055404663,5,0.0,0.0,0.050021634,-5.990599155426025,0.04994887,-5.993510723114014,0.05010924,-5.987099647521973,0.04999895,-5.991506576538086,1.1919367e-05,0.0005466625,0.05,0.05,0.0,180.0,73.4,3952.4399999999987,7340.0,160.0,,574,1000,923.68,14180.897600000002,92368,1000,
6,6,0,42.59538,27.0110924243927,37.832634,0,235.92764949798584,6,0.0,0.0,0.050020106,-5.990660667419434,0.04994162,-5.993801116943359,0.050124787,-5.98647928237915,0.04999881,-5.991512298583984,1.3667646e-05,0.00061001483,0.05,0.05,0.0,220.0,81.4,4778.04,8140.0,160.0,,534,1000,934.43,12918.885099999998,93443,978,
7,9,0,42.57818,27.688728094100952,39.713474,0,269.5756185054779,7,0.0,0.0,0.05001893,-5.9907073974609375,0.049934927,-5.9940690994262695,0.050138783,-5.9859209060668945,0.049998686,-5.991517066955566,1.5251713e-05,0.00066748925,0.05,0.05,0.0,260.0,92.2,4919.16,9220.0,160.0,,437,1000,930.01,13630.869899999998,93001,998,
8,11,0,42.57605,27.52897334098816,41.78293,0,303.0314562320709,8,0.0,0.0,0.050017998,-5.990744590759277,0.049928892,-5.9943108558654785,0.05015112,-5.985428810119629,0.049998567,-5.991521835327148,1.6688828e-05,0.0007196595,0.05,0.05,0.0,220.0,105.8,4290.36,10580.0,160.0,,407,1000,925.01,16207.329900000002,92501,978,
9,6,0,42.548225,27.317986011505127,44.007397,0,336.40879225730896,9,0.0,0.0,0.05001724,-5.990775108337402,0.049923763,-5.994516372680664,0.0501621,-5.984991073608398,0.049998473,-5.991525650024414,1.7993332e-05,0.0007670812,0.05,0.05,0.0,220.0,113.4,3656.4399999999996,11340.0,160.0,,542,1000,919.06,14571.436399999999,91906,963,
10,8,0,42.552372,27.703526496887207,46.35457,0,370.14146637916565,10,0.0,0.0,0.050016638,-5.9907989501953125,0.049918786,-5.994715690612793,0.050173018,-5.984555721282959,0.049998377,-5.99152946472168,1.917911e-05,0.0008102286,0.05,0.05,0.0,220.0,130.8,2659.36,13080.0,160.0,,642,1000,931.15,9882.2875,93115,990,
11,8,0,42.56124,28.669553756713867,48.79187,0,404.9269952774048,11,0.0,0.0,0.050016135,-5.990819454193115,0.04991487,-5.994872570037842,0.050183307,-5.984145641326904,0.049998295,-5.991532802581787,2.0258021e-05,0.00084953196,0.05,0.05,0.0,200.0,135.8,2258.3600000000006,13580.0,160.0,,676,1000,949.6,7715.680000000001,94960,983,
12,13,0,42.584896,28.029836416244507,51.29472,0,438.9982147216797,12,0.0,0.0,0.050015703,-5.9908366203308105,0.049911384,-5.995012283325195,0.050192833,-5.983766078948975,0.049998224,-5.991535663604736,2.1240816e-05,0.00088536274,0.05,0.05,0.0,220.0,145.6,1480.6399999999994,14560.0,160.0,,632,1000,955.38,7241.9556,95538,988,
13,8,0,42.5533,27.94411540031433,53.84326,0,472.9440858364105,13,0.0,0.0,0.050015323,-5.990851879119873,0.04990848,-5.995128631591797,0.050201412,-5.983424186706543,0.049998164,-5.991538047790527,2.2136783e-05,0.00091809244,0.05,0.05,0.0,240.0,144.4,1820.6399999999994,14440.0,160.0,,735,1000,957.71,5727.665900000001,95771,974,
14,11,0,42.57927,28.26738715171814,56.42034,0,507.06435322761536,14,0.0,0.0,0.05001501,-5.990864276885986,0.049905743,-5.995238304138184,0.050209146,-5.983116149902344,0.049998116,-5.99153995513916,2.2955204e-05,0.0009480193,0.05,0.05,0.0,240.0,150.6,1307.64,15060.0,160.0,,659,1000,963.2,4405.999999999999,96320,979,
15,11,0,42.55317,28.934044122695923,59.012577,0,541.9431302547455,15,0.0,0.0,0.05001473,-5.990875244140625,0.049902532,-5.995367050170898,0.050216462,-5.982824802398682,0.049998067,-5.991541862487793,2.3703547e-05,0.0009754476,0.05,0.05,0.0,220.0,152.4,766.2399999999999,15240.0,160.0,,733,1000,966.25,3540.0675,96625,990,
16,14,0,42.575832,28.151447296142578,61.606644,0,576.0508737564087,16,0.0,0.0,0.050014503,-5.990884304046631,0.049899355,-5.995494365692139,0.050222855,-5.982570171356201,0.04999802,-5.991543769836426,2.4389408e-05,0.0010006245,0.05,0.05,40.0,200.0,152.6,797.2399999999999,15260.0,160.0,,523,1000,959.01,6680.689900000001,95901,986,
